WEEK_NUMBER,WORK_LOCATION,SHIFT_TIME,DEPARTMENT_GROUP,WEEKLY_ATTENDANCE_RATE,FOUR_WEEK_ROLLING_AVG,SIX_WEEK_ROLLING_AVG,EXPONENTIAL_SMOOTHING_0_2,EXPONENTIAL_SMOOTHING_0_4,EXPONENTIAL_SMOOTHING_0_6,EXPONENTIAL_SMOOTHING_0_8,EXPONENTIAL_SMOOTHING_1
2025-W40,AZ Phoenix,PM,Production,86.35,77.182235835,76.828046745,78.293959362,77.528799996,77.858837411,78.165992312,78.032036613
2025-W40,NJ Swedesboro Commerce Blvd,AM,Quality,86.96,94.672131148,90.514905149,91.460275937,93.714074629,95.185290859,96.148977727,96.875
2025-W40,CO Aurora,AM,Shipping,75,94.871794872,96.825396825,96.042761528,96.727133198,97.789920061,99.227069079,100
2025-W40,NJ Newark Lister Ave,AM,Production,88.88,90.043800539,89.977569889,90.193269581,90.156311449,90.181352741,90.226087344,90.243111831
2025-W40,TX Irving,AM,Quality,87.91,91.38576779,91.769041769,90.24666665,91.07301822,90.711638227,90.091149665,89.473684211
2025-W40,AZ Phoenix,PM,Warehouse,88.89,86.345381526,87.463556851,87.319430099,84.384105368,82.247485183,80.505110467,79.032258065
2025-W40,AZ Phoenix,AM,Warehouse,84.51,87.551020408,87.182910547,87.409163094,86.461249611,85.502359266,84.392975617,83.47107438
2025-W40,AZ Phoenix,AM,Shipping,66,86.909090909,89.054726368,87.441506433,87.162235072,86.966047278,87.519557243,88.75
2025-W40,NJ Swedesboro Commerce Blvd,PM,Production,86.24,91.640042599,90.514809591,90.383584784,90.499033161,90.156528336,89.685199129,89.32238193
2025-W40,NJ Newark Lister Ave,AM,Warehouse,85.35,88.707653701,88.611803824,89.414201663,89.345986301,89.616584939,89.987998859,90.410958904
2025-W40,TX Irving,PM,Production,85.56,94.815090132,96.555697823,93.657618881,93.223483165,91.22415336,89.260475665,87.190684134
2025-W40,TX Irving,PM,Warehouse,98.94,103.976435935,104.236453202,99.452272862,102.279192968,101.832627371,100.791989027,99.390243902
2025-W40,CO Aurora,PM,Warehouse,85.71,90.476190476,90.909090909,88.686163357,91.515705476,92.653398235,93.283850465,93.75
2025-W40,NJ Swedesboro Commerce Blvd,PM,Quality,78.13,82.010582011,83.032490975,84.103143398,82.455824572,81.847656981,82.23460094,83.333333333
2025-W40,CO Aurora,PM,Quality,75,81.25,86.301369863,84.261989336,84.467745096,84.519812276,84.370380775,83.333333333
2025-W40,AZ Phoenix,PM,Quality,86.67,92.079207921,92.993630573,89.833376192,91.064705388,91.021306693,91.374701708,92.307692308
2025-W40,NJ Newark Lister Ave,PM,Warehouse,89.74,87.061403509,86.222222222,86.331204314,85.886004763,85.618380024,85.583435968,85.840707965
2025-W40,AZ Phoenix,PM,Shipping,88.89,87.922705314,88.888888889,87.968165313,88.860377632,89.560269413,90.131169343,90.384615385
2025-W40,TX Irving,PM,Shipping,79.59,95.079086116,95.652173913,92.77887354,94.158989275,93.49516169,91.810801569,89.361702128
2025-W40,TX Irving,AM,Shipping,86.21,89.804772234,95.382395382,89.879279138,87.454709848,84.067217146,81.670041935,80
2025-W40,NJ Newark Lister Ave,PM,Production,83.58,88.025049641,87.532057605,87.976115919,88.126658698,88.35860569,88.427108424,88.278388278
2025-W40,CO Aurora,AM,Quality,81.25,96.875,92.052980132,91.50765986,93.669853548,93.743400441,92.739035725,91.666666667
2025-W40,TX Irving,AM,Warehouse,85.71,90.539053905,90.955137482,88.653254303,89.403681285,88.864406043,88.201312148,87.5
2025-W40,NJ Swedesboro Commerce Blvd,AM,Production,90.67,88.457465584,87.74208786,88.425849175,87.811174993,87.464889026,87.251318101,87.254901961
2025-W40,NJ Swedesboro Commerce Blvd,AM,Warehouse,92.31,91.143911439,88.995215311,88.888208246,90.351593591,91.425375793,92.478082277,93.846153846
2025-W40,CO Aurora,PM,Production,84.62,90.756302521,89.724770642,89.848646413,91.647868655,93.061009812,94.043714654,94.318181818
2025-W40,CO Aurora,AM,Warehouse,93.55,92.121212121,91.164658635,89.246109121,90.78949956,90.648477788,89.694520677,88.372093023
2025-W40,CO Aurora,PM,Shipping,100,91.666666667,90,92.761483118,95.300504651,98.022632802,99.678279946,100
2025-W40,CO Aurora,AM,Production,93.8,88.847858198,89.105613701,88.812847795,88.478195361,87.882368968,87.024390978,85.91954023
2025-W40,NJ Swedesboro Commerce Blvd,PM,Warehouse,81.25,84.353741497,81.932773109,82.976578738,83.605856143,84.278480265,85.09512156,86.486486486
2025-W40,AZ Phoenix,AM,Quality,89.83,89.488636364,91.320754717,89.656083224,88.336122394,86.790104467,85.927609229,85.882352941
2025-W40,NJ Newark Lister Ave,PM,Quality,86.59,98.158379374,99.380421314,98.176300281,99.08568458,99.3904549,100.008614529,100.735294118
2025-W40,TX Irving,PM,Quality,90.91,99.480519481,100.341880342,97.087653971,99.75892822,100.39899223,100.387718054,100
2025-W40,AZ Phoenix,AM,Production,79.31,84.569138277,84.596577017,84.773406243,84.584526116,84.506754957,84.276766486,83.844339623
2025-W40,NJ Newark Lister Ave,AM,Shipping,89.07,88.151658768,88.980263158,89.689737586,89.198712065,89.175786667,89.145179753,88.940092166
2025-W40,NJ Newark Lister Ave,AM,Quality,80.58,88.636363636,88.908606921,87.650514143,87.37139538,86.965017659,86.976875845,87.368421053
2025-W40,NJ Swedesboro Commerce Blvd,AM,Shipping,100,85.416666667,88.194444444,86.995953059,83.323734076,80.061195371,77.427946759,75
2025-W40,TX Irving,AM,Production,90.01,92.665245203,94.716356913,92.49784575,91.991253018,90.454937475,89.14830708,87.90960452
2025-W40,NJ Newark Lister Ave,PM,Shipping,83.87,87.037037037,88.170731707,88.200277099,88.465714472,89.311390417,90.681477109,92.372881356
2025-W40,NJ Swedesboro Commerce Blvd,PM,Shipping,94.12,88.181818182,86.585365854,88.25272602,86.300797978,84.285659431,81.56276765,78.571428571
2025-W39,AZ Phoenix,AM,Warehouse,92,87.975951904,88.010540184,88.360491076,88.404617696,88.49840101,88.037969914,86.885245902
2025-W39,CO Aurora,AM,Warehouse,93.18,92.592592593,89.2,89.474794517,92.442400007,94.085062279,94.920295455,95.454545455
2025-W39,TX Irving,AM,Production,93.16,96.088979354,96.850626913,93.687980805,94.763021787,94.282882756,94.076698006,94.388327722
2025-W39,CO Aurora,PM,Quality,75,85.416666667,86.301369863,84.492820021,85.220770283,86.297255566,88.518128117,91.666666667
2025-W39,AZ Phoenix,PM,Shipping,89.47,89.215686275,87.591240876,87.352175801,87.852253417,88.409860794,89.248559654,90.625
2025-W39,AZ Phoenix,PM,Production,84.55,76.226774655,76.751909665,78.356311195,77.230241224,77.624209488,78.669240555,80.361173815
2025-W39,NJ Newark Lister Ave,PM,Production,88.24,87.432188065,87.420228196,87.901983727,88.026577228,88.47948547,89.030049722,89.627329193
2025-W39,CO Aurora,AM,Production,87.61,89.121037464,89.373814042,89.532247107,90.177705796,90.808130625,91.385407669,91.807909605
2025-W39,CO Aurora,PM,Shipping,100,85.714285714,90.909090909,92.004206643,93.650785909,96.465868294,99.024377867,100
2025-W39,NJ Swedesboro Commerce Blvd,AM,Shipping,91.67,89.583333333,91.666666667,90.006616048,88.8935543,87.656279522,87.139806685,87.5
2025-W39,AZ Phoenix,AM,Production,85.66,84.873239437,84.291468327,84.998770384,85.058848591,85.472587896,85.975415714,86.565420561
2025-W39,NJ Swedesboro Commerce Blvd,AM,Quality,87.5,89.300411523,90.136986301,90.033985575,91.479183336,92.488039087,93.052399088,93.333333333
2025-W39,NJ Swedesboro Commerce Blvd,PM,Warehouse,87.5,80.64516129,82.936507937,82.211756914,81.80894873,81.12881126,79.894371005,78.048780488
2025-W39,NJ Newark Lister Ave,AM,Warehouse,91.4,87.597911227,89.776632302,89.137514055,88.542130506,88.255913104,88.027573891,87.5
2025-W39,TX Irving,AM,Quality,85.82,93.900184843,91.727493917,90.434207736,92.124922325,92.561505522,92.561153973,92.481203008
2025-W39,NJ Newark Lister Ave,AM,Shipping,90.78,88.774341352,89.382716049,89.885752546,89.378844924,89.541122414,89.983063853,90.322580645
