WEEK_BEGIN,WEEK_NUMBER,WORK_LOCATION,SHIFT_TIME,DEPARTMENT_GROUP,ACTUAL_ATTENDANCE_RATE,GREYKITE_FORECAST,MOVING_AVG_4WEEK_FORECAST,SIX_WEEK_ROLLING_AVG,EXPONENTIAL_SMOOTHING
12/30/21,2022-W01,NJ Newark Lister Ave,AM,Production,59.63,64.64074702425224,,,
12/30/21,2022-W01,NJ Newark Lister Ave,PM,Production,71.06,70.48829807053926,,,
12/30/21,2022-W01,TX Irving,AM,Production,74.55,76.95782341935607,,,
12/30/21,2022-W01,TX Irving,PM,Production,71.51,75.59554960903168,,,
1/6/22,2022-W02,AZ Phoenix,AM,Production,61.07,64.09128988162969,,,
1/6/22,2022-W02,AZ Phoenix,PM,Production,65.54,64.53052892850202,,,
1/6/22,2022-W02,NJ Newark Lister Ave,AM,Production,64.67,70.04469844625899,,,
1/6/22,2022-W02,NJ Newark Lister Ave,PM,Production,69.4,68.06448985,,,
1/6/22,2022-W02,TX Irving,AM,Production,82.82,76.01571525276363,,,
1/6/22,2022-W02,TX Irving,PM,Production,70.61,75.50762860765668,,,
1/13/22,2022-W03,AZ Phoenix,AM,Production,65.78,65.61270617856873,,,
1/13/22,2022-W03,AZ Phoenix,PM,Production,72.77,66.47345456868764,,,
1/13/22,2022-W03,NJ Newark Lister Ave,AM,Production,68.37,72.30579718643496,,,
1/13/22,2022-W03,NJ Newark Lister Ave,PM,Production,68.41,70.76811183,,,
1/13/22,2022-W03,TX Irving,AM,Production,85.16,78.39126829056656,,,
1/13/22,2022-W03,TX Irving,PM,Production,80.07,76.26002792,,,
1/20/22,2022-W04,AZ Phoenix,AM,Production,73.55,68.32425309823232,,,
1/20/22,2022-W04,AZ Phoenix,PM,Production,68.94,67.30588331117555,,,
1/20/22,2022-W04,NJ Newark Lister Ave,AM,Production,63.46,74.91375811649837,,,
1/20/22,2022-W04,NJ Newark Lister Ave,PM,Production,66.05,75.32898601797335,,,
1/20/22,2022-W04,NJ Swedesboro Commerce Blvd,AM,Production,70.12,74.96067102167967,,,
1/20/22,2022-W04,NJ Swedesboro Commerce Blvd,PM,Production,80.88,78.17944110902307,,,
1/20/22,2022-W04,TX Irving,AM,Production,74.61,77.31532498884506,,,
1/20/22,2022-W04,TX Irving,PM,Production,82.81,78.01110520654927,,,
1/27/22,2022-W05,AZ Phoenix,AM,Production,74.44,68.78256134320175,,,
1/27/22,2022-W05,AZ Phoenix,PM,Production,66.97,64.90714830923692,,,
1/27/22,2022-W05,CO Aurora,AM,Production,78.21,76.95749064488645,,,
1/27/22,2022-W05,CO Aurora,PM,Production,77.31,78.28589358077505,,,
1/27/22,2022-W05,NJ Newark Lister Ave,AM,Production,76.03,75.83483248189559,,,
1/27/22,2022-W05,NJ Newark Lister Ave,PM,Production,79.47,74.05481362664098,,,
1/27/22,2022-W05,NJ Swedesboro Commerce Blvd,AM,Production,76.33,81.93346212,,,
1/27/22,2022-W05,NJ Swedesboro Commerce Blvd,PM,Production,67.86,78.52279853927247,,,
1/27/22,2022-W05,TX Irving,AM,Production,75.03,74.48334999719798,,,
1/27/22,2022-W05,TX Irving,PM,Production,79.67,76.54893224,,,
2/3/22,2022-W06,AZ Phoenix,AM,Production,67.51,67.46695749259851,,,39.88936615
2/3/22,2022-W06,AZ Phoenix,PM,Production,68.48,64.31849528187851,,,52.80797195
2/3/22,2022-W06,CO Aurora,AM,Production,79.78,80.48503466568086,,,
2/3/22,2022-W06,CO Aurora,PM,Production,82.14,77.77776832702573,,,
2/3/22,2022-W06,NJ Newark Lister Ave,AM,Production,71.46,76.59573812055704,,,64.26855469
2/3/22,2022-W06,NJ Newark Lister Ave,PM,Production,71.39,72.98324609442773,,,69.40451813
2/3/22,2022-W06,NJ Swedesboro Commerce Blvd,AM,Production,78.16,87.57528119211199,,,
2/3/22,2022-W06,NJ Swedesboro Commerce Blvd,PM,Production,72.53,80.22017323679265,,,
2/3/22,2022-W06,TX Irving,AM,Production,70.27,74.29670018711991,,,65.98858643
2/3/22,2022-W06,TX Irving,PM,Production,80.54,75.06634702582238,,,66.84844971
2/10/22,2022-W07,AZ Phoenix,AM,Production,59.13,65.78690647520476,,,39.88936615
2/10/22,2022-W07,AZ Phoenix,PM,Production,60.36,65.25450338,,,52.80797195
2/10/22,2022-W07,CO Aurora,AM,Production,75.78,81.83208109434162,,,
2/10/22,2022-W07,CO Aurora,PM,Production,82.59,78.93767903410573,,,
2/10/22,2022-W07,NJ Newark Lister Ave,AM,Production,71.08,76.85886452,,,64.26855469
2/10/22,2022-W07,NJ Newark Lister Ave,PM,Production,72.3,74.63778377355226,,,69.40451813
2/10/22,2022-W07,NJ Swedesboro Commerce Blvd,AM,Production,75,84.11193550142339,,,
2/10/22,2022-W07,NJ Swedesboro Commerce Blvd,PM,Production,73.88,80.45231644830736,,,
2/10/22,2022-W07,TX Irving,AM,Production,66.6,75.48454558511423,,,65.98858643
2/10/22,2022-W07,TX Irving,PM,Production,70.46,75.20275531136981,,,66.84844971
2/17/22,2022-W08,AZ Phoenix,AM,Production,61.8,63.71000607190684,,,55.478302
2/17/22,2022-W08,AZ Phoenix,PM,Production,61.96,63.927136378537874,,,62.65040207
2/17/22,2022-W08,CO Aurora,AM,Production,73.76,77.40865846,,,
2/17/22,2022-W08,CO Aurora,PM,Production,76.99,76.58892462783557,,,
2/17/22,2022-W08,NJ Newark Lister Ave,AM,Production,71.55,75.92862226115253,,,64.55699158
2/17/22,2022-W08,NJ Newark Lister Ave,PM,Production,72.41,73.57737640574446,,,69.20426941
2/17/22,2022-W08,NJ Swedesboro Commerce Blvd,AM,Production,75.6,77.97952365947171,,,
2/17/22,2022-W08,NJ Swedesboro Commerce Blvd,PM,Production,71.81,78.28056083915332,,,
2/17/22,2022-W08,TX Irving,AM,Production,66.56,75.03207293,,,70.13551331
2/17/22,2022-W08,TX Irving,PM,Production,72.7,74.63822172996328,,,69.23297882
2/24/22,2022-W09,AZ Phoenix,AM,Production,61.88,65.11511368,47.485313,,73.73162842
2/24/22,2022-W09,AZ Phoenix,PM,Production,65.98,64.70050848339046,58.234703,,73.53760529
2/24/22,2022-W09,CO Aurora,AM,Production,78.14,77.97571373777483,172.22223,,163.6666718
2/24/22,2022-W09,CO Aurora,PM,Production,77.07,78.87416822991304,206.99709,,192.3032074
2/24/22,2022-W09,NJ Newark Lister Ave,AM,Production,71.6,76.80097264717104,59.737587,,63.51136398
2/24/22,2022-W09,NJ Newark Lister Ave,PM,Production,71.88,74.67599056020109,60.08369,,66.17502594
2/24/22,2022-W09,NJ Swedesboro Commerce Blvd,AM,Production,79.71,80.26474063716617,47.160492,,47.16049194
2/24/22,2022-W09,NJ Swedesboro Commerce Blvd,PM,Production,73.8,79.37393401761506,28.947369,,28.94736862
2/24/22,2022-W09,TX Irving,AM,Production,71.63,74.95971853801153,64.06083,,66.41957092
2/24/22,2022-W09,TX Irving,PM,Production,72.75,75.92380794165517,68.13579,,79.27202606
3/3/22,2022-W10,AZ Phoenix,AM,Production,64.55,65.48561663453084,64.955055,,72.92673492
3/3/22,2022-W10,AZ Phoenix,PM,Production,64.1,65.07851623839626,68.39316,,68.11655426
3/3/22,2022-W10,CO Aurora,AM,Production,76.59,80.14975899318114,102.489624,,85.39130402
3/3/22,2022-W10,CO Aurora,PM,Production,77.15,78.22566473500324,117.48954,,96.82975769
3/3/22,2022-W10,NJ Newark Lister Ave,AM,Production,71.97,76.79830670323693,60.79783,,61.497715
3/3/22,2022-W10,NJ Newark Lister Ave,PM,Production,68.62,74.69597010054014,66.66831,,68.73007202
3/3/22,2022-W10,NJ Swedesboro Commerce Blvd,AM,Production,77.42,82.30367131223984,60.294117,,61.08388901
3/3/22,2022-W10,NJ Swedesboro Commerce Blvd,PM,Production,72.2,80.30947876979144,43.19609,,47.5332222
3/3/22,2022-W10,TX Irving,AM,Production,68.61,75.27398061,69.87228,,73.10234833
3/3/22,2022-W10,TX Irving,PM,Production,77.76,75.87247585155656,76.48174,,78.14638519
3/10/22,2022-W11,AZ Phoenix,AM,Production,61.27,66.31353927,69.480316,57.37181854,65.90267181
3/10/22,2022-W11,AZ Phoenix,PM,Production,62.9,65.96975909335521,69.640465,62.6006546,66.96272278
3/10/22,2022-W11,CO Aurora,AM,Production,81.18,81.15919078825513,95.952614,95.95261383,85.05934143
3/10/22,2022-W11,CO Aurora,PM,Production,79.87,80.32875538487502,106.2653,106.2652969,90.25229645
3/10/22,2022-W11,NJ Newark Lister Ave,AM,Production,71.8,76.18484831,62.758724,60.59701538,71.46041107
3/10/22,2022-W11,NJ Newark Lister Ave,PM,Production,72.26,76.19792232926628,67.26293,64.57476044,70.35208893
3/10/22,2022-W11,NJ Swedesboro Commerce Blvd,AM,Production,76.88,81.44122139556372,67.29308,67.29308319,72.43438721
3/10/22,2022-W11,NJ Swedesboro Commerce Blvd,PM,Production,69.66,79.82117156159137,49.93905,49.93904877,53.27947617
3/10/22,2022-W11,TX Irving,AM,Production,69.26,75.66045031948866,65.6522,63.74927521,62.38977051
3/10/22,2022-W11,TX Irving,PM,Production,73.55,75.78452068245639,75.635826,69.18463898,71.70131683
3/17/22,2022-W12,AZ Phoenix,AM,Production,60.95,66.80174760485453,66.00406,63.13634872,58.66279221
3/17/22,2022-W12,AZ Phoenix,PM,Production,62.95,66.72973118357262,65.50864,65.38492584,60.01572418
3/17/22,2022-W12,CO Aurora,AM,Production,78.54,80.26434032395748,89.18346,91.90526581,81.69364929
3/17/22,2022-W12,CO Aurora,PM,Production,82.63,82.83496730993446,98.49315,101.3698654,96.7219696
3/17/22,2022-W12,NJ Newark Lister Ave,AM,Production,71.05,76.29485169111265,64.46039,64.45723724,70.88461304
3/17/22,2022-W12,NJ Newark Lister Ave,PM,Production,70.33,75.99838704640788,68.270546,68.47023773,71.52326202
3/17/22,2022-W12,NJ Swedesboro Commerce Blvd,AM,Production,80.64,81.10245468036821,74.1059,74.10590363,89.5117569
3/17/22,2022-W12,NJ Swedesboro Commerce Blvd,PM,Production,70.65,78.46163314758361,54.096004,54.09600449,56.27452087
3/17/22,2022-W12,TX Irving,AM,Production,73.19,76.18530793325976,64.678986,65.77249908,63.76086426
3/17/22,2022-W12,TX Irving,PM,Production,74.42,75.31636423767746,73.619225,73.36116028,71.1539917
3/24/22,2022-W13,AZ Phoenix,AM,Production,64.71,67.25052329769409,63.556164,65.01120758,61.04071045
3/24/22,2022-W13,AZ Phoenix,PM,Production,74.06,67.85355902505646,62.909355,65.37892151,62.19681549
3/24/22,2022-W13,CO Aurora,AM,Production,84.5,80.42031069546246,79.77494,88.89802551,85.08525848
3/24/22,2022-W13,CO Aurora,PM,Production,80.46,83.03122765008258,82.057076,93.09634399,86.7880249
3/24/22,2022-W13,NJ Newark Lister Ave,AM,Production,74.63,77.44333857376684,66.74595,65.65320587,70.78126526
3/24/22,2022-W13,NJ Newark Lister Ave,PM,Production,72.03,74.64724257,72.549934,68.98788452,71.24550629
3/24/22,2022-W13,NJ Swedesboro Commerce Blvd,AM,Production,82.55,82.13797867446188,78.44688,75.75435638,78.30980682
3/24/22,2022-W13,NJ Swedesboro Commerce Blvd,PM,Production,72.92,78.66024063545356,56.309727,53.76750565,55.91406631
3/24/22,2022-W13,TX Irving,AM,Production,71.58,77.04917937236162,64.693565,65.8620224,65.38111115
3/24/22,2022-W13,TX Irving,PM,Production,73.04,75.69774477138544,70.12219,73.48894501,70.47929382
3/31/22,2022-W14,AZ Phoenix,AM,Production,65.68,68.26686481497161,61.313652,64.44299316,61.87702179
3/31/22,2022-W14,AZ Phoenix,PM,Production,61.66,68.44488295,62.80532,64.90914917,67.80402374
3/31/22,2022-W14,CO Aurora,AM,Production,79.3,81.15564955515713,81.26888,85.22702026,83.17845154
3/31/22,2022-W14,CO Aurora,PM,Production,79.91,81.99503840577468,82.20572,89.19478607,85.38291168
3/31/22,2022-W14,NJ Newark Lister Ave,AM,Production,74.19,77.65118274502193,71.647964,66.7575531,69.98245239
3/31/22,2022-W14,NJ Newark Lister Ave,PM,Production,71.6,74.44468478871318,71.99151,69.54267883,71.49245453
3/31/22,2022-W14,NJ Swedesboro Commerce Blvd,AM,Production,79.84,81.34767666169891,84.15525,78.28856659,84.24649048
3/31/22,2022-W14,NJ Swedesboro Commerce Blvd,PM,Production,73.56,79.87298961349312,58.161766,54.27172089,56.13892365
3/31/22,2022-W14,TX Irving,AM,Production,71.87,76.93347550849752,61.386635,64.84397888,63.768116
3/31/22,2022-W14,TX Irving,PM,Production,78.66,77.23140691634961,68.81004,72.5369873,70.94103241
4/7/22,2022-W15,AZ Phoenix,AM,Production,71.95,69.07929014563766,60.92456,63.43704224,61.15735626
4/7/22,2022-W15,AZ Phoenix,PM,Production,67.33,67.74600212403676,62.190083,63.70690918,63.81024933
4/7/22,2022-W15,CO Aurora,AM,Production,80.65,81.07084093370553,78.424355,78.77217102,76.73509216
4/7/22,2022-W15,CO Aurora,PM,Production,81.08,81.18415083443641,81.15477,82.65024567,83.19711304
4/7/22,2022-W15,NJ Newark Lister Ave,AM,Production,73.79,77.05177617182747,71.874176,68.36923218,71.91939545
4/7/22,2022-W15,NJ Newark Lister Ave,PM,Production,68.16,74.38369347,71.35781,71.83345795,70.39308929
4/7/22,2022-W15,NJ Swedesboro Commerce Blvd,AM,Production,79.43,79.83759908336332,87.4261,82.1835556,83.69070435
4/7/22,2022-W15,NJ Swedesboro Commerce Blvd,PM,Production,75.74,80.32507663038783,60.707222,58.53458023,69.75806427
4/7/22,2022-W15,TX Irving,AM,Production,77.14,76.19280129411602,66.22899,65.14719391,68.61212158
4/7/22,2022-W15,TX Irving,PM,Production,75.35,77.80372818482485,72.01509,71.67121887,77.76064301
4/14/22,2022-W16,AZ Phoenix,AM,Production,69.26,69.79721817,61.74307,61.48610306,61.40099716
4/14/22,2022-W16,AZ Phoenix,PM,Production,66.12,68.16907121,63.258755,62.78996277,62.43503952
4/14/22,2022-W16,CO Aurora,AM,Production,79.17,81.57646313456526,78.507195,80.32257843,82.1065979
4/14/22,2022-W16,CO Aurora,PM,Production,79.9,80.55783817,81.13108,83.97167969,86.39828491
4/14/22,2022-W16,NJ Newark Lister Ave,AM,Production,75.86,78.01801776,72.96758,72.44172668,76.53354645
4/14/22,2022-W16,NJ Newark Lister Ave,PM,Production,69.78,74.18016535525437,71.5281,71.63904572,71.44776917
4/14/22,2022-W16,NJ Swedesboro Commerce Blvd,AM,Production,77.88,81.05078791663719,86.11241,85.1139679,84.0490799
4/14/22,2022-W16,NJ Swedesboro Commerce Blvd,PM,Production,79.61,81.04885754054743,60.693195,61.0503273,60.39889526
4/14/22,2022-W16,TX Irving,AM,Production,77.45,77.05781496416483,67.01859,63.72549057,68.27967834
4/14/22,2022-W16,TX Irving,PM,Production,75.71,77.04720233642087,71.84805,70.31286621,71.74621582
4/21/22,2022-W17,AZ Phoenix,AM,Production,72.54,71.09108591835444,61.655663,60.6684494,61.22579956
4/21/22,2022-W17,AZ Phoenix,PM,Production,69.82,70.40796586,63.6688,62.0736351,62.78141022
4/21/22,2022-W17,CO Aurora,AM,Production,78.39,82.58941019,79.459625,79.66796112,82.70270538
4/21/22,2022-W17,CO Aurora,PM,Production,80.76,80.83017796806524,85.42001,83.1271286,84.82532501
4/21/22,2022-W17,NJ Newark Lister Ave,AM,Production,78.94,79.60108646338561,74.457794,73.48003387,77.66428375
4/21/22,2022-W17,NJ Newark Lister Ave,PM,Production,77.32,75.44098309,71.79582,71.99742889,71.18339539
4/21/22,2022-W17,NJ Swedesboro Commerce Blvd,AM,Production,82.16,83.34952215424182,86.64717,86.19432831,83.52924347
4/21/22,2022-W17,NJ Swedesboro Commerce Blvd,PM,Production,87.86,82.83943569655747,64.628586,62.42413712,62.07575607
4/21/22,2022-W17,TX Irving,AM,Production,77.88,78.54444441,68.618744,67.77857971,69.53542328
4/21/22,2022-W17,TX Irving,PM,Production,78.14,76.91614152845939,73.79415,72.13018036,74.39147949
4/28/22,2022-W18,AZ Phoenix,AM,Production,72.71,71.09129420477977,62.3302,62.07107162,63.14424133
4/28/22,2022-W18,AZ Phoenix,PM,Production,76.37,70.37369397376322,64.89339,64.47938538,71.33588409
4/28/22,2022-W18,CO Aurora,AM,Production,78.01,82.03290577727284,80.763115,80.00414276,83.6370697
4/28/22,2022-W18,CO Aurora,PM,Production,82.54,82.13926514,85.221405,81.72389221,82.9367218
4/28/22,2022-W18,NJ Newark Lister Ave,AM,Production,78.04,78.96056925466668,75.777,74.28167725,76.376297
4/28/22,2022-W18,NJ Newark Lister Ave,PM,Production,77.16,76.45679047957248,71.83052,71.94596863,72.40556335
4/28/22,2022-W18,NJ Swedesboro Commerce Blvd,AM,Production,85.78,83.33581434185152,85.69993,85.50161743,85.56806183
4/28/22,2022-W18,NJ Swedesboro Commerce Blvd,PM,Production,86.51,83.62825484012306,68.7588,63.59405899,71.3561554
4/28/22,2022-W18,TX Irving,AM,Production,76.01,77.92845122388754,70.62175,68.72885895,71.72109985
4/28/22,2022-W18,TX Irving,PM,Production,79.21,77.34966724001437,73.86424,72.5969696,73.16572571
5/5/22,2022-W19,AZ Phoenix,AM,Production,66.07,69.03711977727322,62.476086,62.72373962,65.28388977
