WEEK_BEGIN,WORK_LOCATION,SHIFT_TIME,DEPARTMENT_GROUP,ACTUAL_ATTENDANCE_RATE,GREYKITE_FORECAST,MOVING_AVG_4WEEK_FORECAST,TRAINING_WEEKS_USED,TRAINING_END_DATE,GAP_WEEKS
2023-12-26,AZ Phoenix,AM,Production,71.63,,79.4525,101,2023-12-12,1
2023-12-26,AZ Phoenix,PM,Production,70.48,,76.935,101,2023-12-12,1
2023-12-26,CO Aurora,AM,Production,83.28,,87.05749999999999,99,2023-12-12,1
2023-12-26,CO Aurora,PM,Production,79.49,,88.8,99,2023-12-12,1
2023-12-26,GA Newnan,AM,Production,82.76,,86.07,102,2023-12-12,1
2023-12-26,GA Newnan,PM,Production,78.43,,84.985,102,2023-12-12,1
2023-12-26,NJ Newark Lister Ave,AM,Production,82.63,,87.6475,101,2023-12-12,1
2023-12-26,NJ Newark Lister Ave,PM,Production,76.82,,84.1125,101,2023-12-12,1
2023-12-26,NJ Swedesboro Commerce Blvd,AM,Production,76.43,,85.055,99,2023-12-12,1
2023-12-26,NJ Swedesboro Commerce Blvd,PM,Production,79.47,,82.95,99,2023-12-12,1
2023-12-26,TX Grand Prairie Post and Paddock,AM,Production,82.17,,85.2525,101,2023-12-12,1
2023-12-26,TX Grand Prairie Post and Paddock,PM,Production,99.32,,82.8175,101,2023-12-12,1
2023-12-26,TX Irving,AM,Production,84.66,,89.2275,101,2023-12-12,1
2023-12-26,TX Irving,PM,Production,86.85,,88.99000000000001,101,2023-12-12,1
2024-01-02,AZ Phoenix,AM,Production,76.59,,73.69749999999999,102,2023-12-19,1
2024-01-02,AZ Phoenix,PM,Production,78.79,,78.0275,102,2023-12-19,1
2024-01-02,CO Aurora,AM,Production,80.77,,86.6375,100,2023-12-19,1
2024-01-02,CO Aurora,PM,Production,77.54,,84.55000000000001,100,2023-12-19,1
2024-01-02,GA Newnan,AM,Production,83.29,,86.76249999999999,103,2023-12-19,1
2024-01-02,GA Newnan,PM,Production,76.72,,83.9975,103,2023-12-19,1
2024-01-02,NJ Newark Lister Ave,AM,Production,83.56,,85.715,102,2023-12-19,1
2024-01-02,NJ Newark Lister Ave,PM,Production,79.45,,81.98,102,2023-12-19,1
2024-01-02,NJ Swedesboro Commerce Blvd,AM,Production,82.99,,83.2675,100,2023-12-19,1
2024-01-02,NJ Swedesboro Commerce Blvd,PM,Production,83.72,,80.7375,100,2023-12-19,1
2024-01-02,TX Grand Prairie Post and Paddock,AM,Production,86.48,,84.445,102,2023-12-19,1
2024-01-02,TX Grand Prairie Post and Paddock,PM,Production,81.18,,82.0725,102,2023-12-19,1
2024-01-02,TX Irving,AM,Production,86.87,,88.89250000000001,102,2023-12-19,1
2024-01-02,TX Irving,PM,Production,86.83,,87.535,102,2023-12-19,1
2024-01-09,AZ Phoenix,AM,Production,81.75,,71.475,103,2023-12-26,1
2024-01-09,AZ Phoenix,PM,Production,77.31,,75.68,103,2023-12-26,1
2024-01-09,CO Aurora,AM,Production,87.38,,85.58250000000001,101,2023-12-26,1
2024-01-09,CO Aurora,PM,Production,82.95,,81.85249999999999,101,2023-12-26,1
2024-01-09,GA Newnan,AM,Production,84.05,,85.72500000000001,104,2023-12-26,1
2024-01-09,GA Newnan,PM,Production,70.42,,82.0575,104,2023-12-26,1
2024-01-09,NJ Newark Lister Ave,AM,Production,90.05,,84.1275,103,2023-12-26,1
2024-01-09,NJ Newark Lister Ave,PM,Production,87.3,,79.73,103,2023-12-26,1
2024-01-09,NJ Swedesboro Commerce Blvd,AM,Production,82.43,,79.945,101,2023-12-26,1
2024-01-09,NJ Swedesboro Commerce Blvd,PM,Production,85.91,,79.555,101,2023-12-26,1
2024-01-09,TX Grand Prairie Post and Paddock,AM,Production,90.63,,83.6375,103,2023-12-26,1
2024-01-09,TX Grand Prairie Post and Paddock,PM,Production,84.46,,86.315,103,2023-12-26,1
2024-01-09,TX Irving,AM,Production,87.76,,86.8325,103,2023-12-26,1
2024-01-09,TX Irving,PM,Production,84.03,,86.62,103,2023-12-26,1
2024-01-16,AZ Phoenix,AM,Production,82.44,,71.33,104,2024-01-02,1
2024-01-16,AZ Phoenix,PM,Production,79.2,,77.05,104,2024-01-02,1
2024-01-16,CO Aurora,AM,Production,85.89,,84.1425,102,2024-01-02,1
2024-01-16,CO Aurora,PM,Production,87.58,,79.325,102,2024-01-02,1
2024-01-16,GA Newnan,AM,Production,83.03,,85.9425,105,2024-01-02,1
2024-01-16,GA Newnan,PM,Production,80.46,,80.58,105,2024-01-02,1
2024-01-16,NJ Newark Lister Ave,AM,Production,88.02,,83.10749999999999,104,2024-01-02,1
2024-01-16,NJ Newark Lister Ave,PM,Production,87.91,,78.5675,104,2024-01-02,1
2024-01-16,NJ Swedesboro Commerce Blvd,AM,Production,81.35,,78.85249999999999,102,2024-01-02,1
2024-01-16,NJ Swedesboro Commerce Blvd,PM,Production,85.49,,79.8425,102,2024-01-02,1
2024-01-16,TX Grand Prairie Post and Paddock,AM,Production,82.1,,83.405,104,2024-01-02,1
2024-01-16,TX Grand Prairie Post and Paddock,PM,Production,81.06,,85.84750000000001,104,2024-01-02,1
2024-01-16,TX Irving,AM,Production,91.65,,86.7975,104,2024-01-02,1
2024-01-16,TX Irving,PM,Production,90.63,,86.52499999999999,104,2024-01-02,1
2024-01-23,AZ Phoenix,AM,Production,85.26,,71.6725,105,2024-01-09,1
2024-01-23,AZ Phoenix,PM,Production,81.46,,76.4375,105,2024-01-09,1
2024-01-23,CO Aurora,AM,Production,89.58,,83.97749999999999,103,2024-01-09,1
2024-01-23,CO Aurora,PM,Production,89.32,,78.0975,103,2024-01-09,1
2024-01-23,GA Newnan,AM,Production,86.62,,84.5925,106,2024-01-09,1
2024-01-23,GA Newnan,PM,Production,82.88,,76.31,106,2024-01-09,1
2024-01-23,NJ Newark Lister Ave,AM,Production,90.09,,83.99499999999999,105,2024-01-09,1
2024-01-23,NJ Newark Lister Ave,PM,Production,86.12,,79.8275,105,2024-01-09,1
2024-01-23,NJ Swedesboro Commerce Blvd,AM,Production,88.97,,79.74,103,2024-01-09,1
2024-01-23,NJ Swedesboro Commerce Blvd,PM,Production,90.82,,81.9725,103,2024-01-09,1
2024-01-23,TX Grand Prairie Post and Paddock,AM,Production,84.95,,84.4325,105,2024-01-09,1
2024-01-23,TX Grand Prairie Post and Paddock,PM,Production,83.44,,85.06,105,2024-01-09,1
2024-01-23,TX Irving,AM,Production,88.21,,86.22,105,2024-01-09,1
