week_number,work_location,shift_time,department_group,actual_attendance,greykite_forecast,greykite_forecast_lower_95,greykite_forecast_upper_95,four_week_rolling_avg,six_week_rolling_avg,exponential_smoothing_alpha_2,exponential_smoothing_alpha_4,exponential_smoothing_alpha_6,exponential_smoothing_alpha_8,exponential_smoothing_alpha_1
2024-W41,AZ Phoenix,PM,Shipping,109.8,105.50730253884383,82.53501169140746,128.47959338628021,92.76,92.31,91.59,91.56,91.15,90.73,90.41
2024-W42,AZ Phoenix,PM,Shipping,80.7,85.56109937615878,62.51859117379687,108.6036075785207,92.31,93.33,92.37,93.14,93.79,94.62,95.65
2024-W43,AZ Phoenix,PM,Shipping,89.66,87.33529153639199,64.36489987984956,110.30568319293442,93.62,93.88,93.23,94.6,95.65,96.48,96.97
2024-W44,AZ Phoenix,PM,Shipping,88.89,87.2689919009253,64.25201823191799,110.28596556993261,94.16,93.3,93.36,94.35,94.63,94.45,93.94
2024-W45,AZ Phoenix,PM,Shipping,96.55,100.89571891592587,77.84198664935559,123.94945118249615,95.4,93.87,93.65,94.59,94.84,94.88,95.0
2024-W46,AZ Phoenix,PM,Shipping,86.89,81.56327852442742,58.7345937640363,104.39196328481853,98.35,96.36,96.21,99.83,103.07,106.36,109.8
2024-W47,AZ Phoenix,PM,Shipping,77.78,84.02834799825962,61.16912042832182,106.88757556819742,94.44,95.12,93.4,92.35,89.52,85.54,80.7
2024-W48,AZ Phoenix,PM,Shipping,89.39,81.55468469201472,58.54774170664075,104.56162767738869,93.36,94.13,92.7,91.28,89.6,88.85,89.66
2024-W49,AZ Phoenix,PM,Shipping,76.81,84.65489533127456,61.64675636717897,107.66303429537015,91.7,92.68,91.93,90.28,89.16,88.88,88.89
2024-W50,AZ Phoenix,PM,Shipping,86.96,83.25820738967766,59.99300202960757,106.52341274974776,88.98,93.08,92.8,92.73,93.51,94.94,96.55
2024-W51,AZ Phoenix,PM,Shipping,88.24,85.29581733751984,62.057845193119206,108.53378948192046,90.42,91.67,91.62,90.35,89.49,88.45,86.89
2024-W52,AZ Phoenix,PM,Shipping,66.2,72.24361827974019,49.42890241627471,95.05833414320567,87.35,86.67,88.79,85.17,82.34,79.85,77.78
2025-W01,AZ Phoenix,PM,Shipping,65.43,64.28662927172414,41.44454784262592,87.12871070082235,87.5,88.08,88.92,86.94,86.68,87.57,89.39
2025-W02,AZ Phoenix,PM,Shipping,87.34,78.67936320722643,55.6214072710559,101.73731914339696,82.63,85.79,86.3,82.67,80.59,78.87,76.81
2025-W03,AZ Phoenix,PM,Shipping,83.33,97.60762961521104,74.59676418115444,120.61849504926764,82.77,85.49,86.44,84.44,84.45,85.35,86.96
2025-W04,AZ Phoenix,PM,Shipping,90.79,81.67970687851033,58.80457127793635,104.55484247908431,85.29,84.34,86.81,85.97,86.72,87.65,88.24
2025-W05,AZ Phoenix,PM,Shipping,98.61,94.4800487204744,71.76563858912903,117.19445885181977,79.42,80.79,82.42,77.81,74.2,70.35,66.2
2025-W06,AZ Phoenix,PM,Shipping,106.45,122.12668625418588,99.51418307398548,144.73918943438628,76.12,78.3,78.45,72.37,68.63,66.31,65.43
2025-W07,AZ Phoenix,PM,Shipping,158.93,141.07250416880973,118.4125832168791,163.73242512074034,76.59,78.26,80.42,78.61,80.0,83.14,87.34
2025-W08,AZ Phoenix,PM,Shipping,98.61,110.16807859777914,87.429617659539,132.9065395360193,75.58,79.32,81.01,80.44,81.94,83.29,83.33
2025-W09,AZ Phoenix,PM,Shipping,105.56,101.79575216439966,79.16943209183867,124.42207223696064,81.49,80.09,83.06,84.64,87.29,89.33,90.79
2025-W10,AZ Phoenix,PM,Shipping,109.72,109.61323057068132,87.14684767721863,132.07961346414402,89.97,81.82,86.16,90.09,93.96,96.68,98.61
2025-W11,AZ Phoenix,PM,Shipping,107.14,107.51670516465362,84.99685512517144,130.0365552041358,94.33,87.78,89.74,95.97,100.94,104.24,106.45
2025-W12,AZ Phoenix,PM,Shipping,92.65,92.40594936621086,69.89595502267395,114.91594370974778,110.9,101.68,101.24,118.06,133.3,146.75,158.93
2025-W13,AZ Phoenix,PM,Shipping,83.82,84.60604681040795,62.15683919023446,107.05525443058144,113.36,103.9,100.68,109.71,111.03,106.64,98.61
2025-W14,AZ Phoenix,PM,Shipping,87.5,87.22849266101946,64.70818851130146,109.74879681073746,115.27,107.8,101.7,107.98,107.66,105.77,105.56
